mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_dropout,param_epochs,param_hidden_dim,param_input_dim,param_learning_rate,param_output_dim,param_weight_decay,params,Picohttpparser_test_score,CSimpleJSONParser_test_score,Benoitc_HTTP_test_score,CParserXML_test_score,cJSON_test_score,YACC_Calculator_test_score,ELF_Parser_test_score,Network_Packet_Analyzer_test_score,Packcc_test_score,PCAP_Parser_test_score,mean_test_score,std_test_score,rank_test_score
56.72324628829956,9.424130135235142,0.24364862442016602,0.25089392406460637,32,0,40,32,1,0.1,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 40, 'hidden_dim': 32, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.0}",0.0,0.6902173913043478,0.0,0.3627450980392157,0.0,0.8620689655172413,0.0,0.0,0.24910394265232974,0.0,0.21641353975131344,0.30738437290897336,14
59.0686193227768,8.673455322533409,0.2169259309768677,0.19511878949302394,32,0,40,32,1,0.1,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 40, 'hidden_dim': 32, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
58.12290246486664,9.464002260543046,0.228439998626709,0.21027362204367492,32,0,40,32,1,0.01,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 40, 'hidden_dim': 32, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.0}",0.0,0.7119565217391305,0.2,0.0,0.038461538461538464,0.0,0.36681222707423583,0.0,0.546594982078853,0.0,0.18638252693537577,0.2518519802750201,21
83.41311364173889,13.19580286532734,0.30479142665863035,0.3136635029801885,32,0,40,32,1,0.01,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 40, 'hidden_dim': 32, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
71.08479557037353,10.557405059603536,0.24882373809814454,0.21164455643207936,32,0,40,64,1,0.1,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 40, 'hidden_dim': 64, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.10752688172043011,0.21428571428571427,0.05003840245775729,0.08020581994858854,66
76.75006201267243,11.098341521525038,0.2590606212615967,0.2421113789482199,32,0,40,64,1,0.1,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 40, 'hidden_dim': 64, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
71.00222280025483,10.684781506698044,0.2739158868789673,0.291813675352746,32,0,40,64,1,0.01,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 40, 'hidden_dim': 64, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.0}",0.0029940119760479044,0.19021739130434784,0.3368421052631579,0.10784313725490197,0.12307692307692308,0.1724137931034483,0.462882096069869,0.0,0.503584229390681,0.0,0.18998536874393773,0.17693821487321026,20
104.33755214214325,17.63073176019876,0.36604719161987304,0.485693022062547,32,0,40,64,1,0.01,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 40, 'hidden_dim': 64, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
16.154870915412904,2.5054234085869047,0.2428818702697754,0.2243614684377083,32,0.01,10,16,1,0.1,2,0.0,"{'batch_size': 32, 'dropout': 0.01, 'epochs': 10, 'hidden_dim': 16, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.0}",0.8652694610778443,0.0,0.0,0.0,0.0,0.0,0.1222707423580786,0.0,0.0,0.0,0.09875402034359229,0.2580925821038862,50
14.154661464691163,2.6007254399365007,0.18032643795013428,0.15720295461768902,32,0.01,10,16,1,0.1,2,0.01,"{'batch_size': 32, 'dropout': 0.01, 'epochs': 10, 'hidden_dim': 16, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
12.632515263557433,1.9065450387940925,0.17671785354614258,0.1482666044147808,32,0.01,10,16,1,0.01,2,0.0,"{'batch_size': 32, 'dropout': 0.01, 'epochs': 10, 'hidden_dim': 16, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.0}",0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.0,0.0,0.0,0.0,0.017241379310344827,0.05172413793103448,78
13.287527203559875,1.6841089320081528,0.21515228748321533,0.22905232961383687,32,0.01,10,16,1,0.01,2,0.01,"{'batch_size': 32, 'dropout': 0.01, 'epochs': 10, 'hidden_dim': 16, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
